Index,Name,Affiliation,Country
180,"Muhammad Shafiq 0002","Yeungnam University, Department of Information and Communication Engineering, Gyeongsan, South Korea",South Korea
182,"Nadeem Javaid","COMSATS University Islamabad, Department of Computer Science, Pakistan",Pakistan
186,"Qiang Liu 0020","Beijing Jiaotong University, Beijing Key Laboratory of Transportation Data Analysis and Mining, China",China
186,"Jun Yang 0014","Huazhong University of Science and Technology, School of Computer Science and Technology, Wuhan, China",China
188,"Aleksandr Ometov","Tampere University of Technology, Finland",Finland
188,"Yevgeni Koucheryavy","Tampere University of Technology, Finland",Finland
190,"Sergey Andreev 0001","Tampere University of Technology, Finland",Finland
194,"Khan Muhammad 0001","Sungkyunkwan University, College of Computing and Informatics, VIS2KNOW Lab, Seoul, South Korea",South Korea
200,"Raghvendra Kumar 0001","LNCT College, Computer Science and Engineering Department, Jabalpur, Madhya Pradesh, India",India
200,"Mohamed Abdel-Basset","Zagazig University, Department of Operations Research, Egypt",Egypt
202,"Marley M. B. R. Vellasco","Pontifical Catholic University of Rio de Janeiro (PUC-Rio), Department of Electrical Engineering",Brazil
204,"Kennedy Edson Souza","Federal University of Pará, Electrical Engineering Department, Brazil",Brazil
208,"Harold D. de Mello Jr.","Rio de Janeiro State University, Department of Electrical Engineering, Brazil",Brazil
210,"Daniel da S. Souza","Federal University of Pará, Belém, Federal University of Pará, Belém, Brazil, Brazil",Brazil
214,"Wei Zhang 0138","Hangzhou Dianzi University, Department of Computer Science and Technology, China",China
214,"Jian Wan 0001","Zhejiang University of Science and Technology, School of Information and Electronic Engineering, Hangzhou, China",China
216,"Naixue Xiong","Sul Ross State University, Department of Computer, Mathematical and Physical Sciences, Alpine, TX, USA",United States
220,"Geoffrey Ye Li","Imperial College London, UK",United Kingdom
222,"Jing Zhang 0031","Southeast University, National Mobile Communications Research Laboratory, Nanjing, China",China
224,"Shi Jin 0002","Southeast University, National Mobile Communications Research Laboratory, Nanjing, China",China
226,"Sara Nasiri","University of Siegen, Germany",Germany
226,"Kerstin Weinberg","Universität Siegen, Germany",Germany
228,"Adam Z. Wyner","Swansea University, Department of Computer Science and School of Law, UK",United Kingdom
228,"Livio Robaldo","University of Swansea, UK",United Kingdom
230,"Serena Villata","CNRS, France",France
234,"Roozbeh Mottaghi","AI2, Allen Institute for Artificial Intelligence, Seattle, USA",United States
236,"Mauricio Castillo-Effen","Universidad Católica Boliviana",Bolivia
238,"Xiaowei Huang 0001","University of Liverpool, UK",United Kingdom
240,"José Hernández-Orallo","Polytechnic University of Valencia, Spain",Spain
242,"Christopher W. Geib","SIFT LLC",United States
246,"Arash Shaban-Nejad","University of Tennessee Health Science Center, USA",United States
248,"Julian Togelius","New York University, New York, USA",United States
250,"Koichiro Yoshino","Nara Institute of Science and Technology (NAIST), Ikoma, Japan",Japan
284,"Julian J. McAuley","University of California, San Diego, Department of Computer Science and Engineering, CA, USA",United States
288,"Mausam","Indian Institute of Technology Delhi",India
304,"William W. Streilein","Massachusetts Institute of Technology",United States
318,"Joseph C. Osborn","University of California, Santa Cruz, CA, USA",United States
328,"Onn Shehory","Thomas J. Watson Research Center, Yorktown Heights, USA",United States
382,"Seán Ó hÉigeartaigh","University of Cambridge, Centre for the Study of Existential Risk, UK",United Kingdom
416,"James A. Hendler","Rensselaer Polytechnic Institute, Troy, NY, USA",United States
416,"Oshani Seneviratne","Rensselaer Polytechnic Institute, Troy, NY, USA",United States
418,"Yolanda Gil","University of Southern California, Information Sciences Institute, Los Angeles, USA",United States
420,"Franz Wotawa","Graz University of Technology, Austria",Austria
420,"Gerhard Friedrich","University of Klagenfurt, Austria",Austria
422,"Harry Eugene Stanley","Boston University, Department of Physics, Center for Polymer Studies, Boston, MA, USA",United States
422,"Xin Zhang 0036","Shanghai Maritime University, College of Communication and Transport, Shanghai, China",China
424,"Nikolaus Vahrenkamp","Karlsruhe Institute of Technology, Institute of Anthropomatics",Germany
424,"Oliver Kroemer","Max Planck Institute for Informatics, Saarbücken, Germany",Germany
426,"Mohit Kumar 0001","University of Rostock, Center for Life Science Automation, Germany",Germany
426,"Weiping Zhang 0001","Zhejiang University, Binhai Industrial Technology Research Institute, Tianjin, China",China
428,"Xin Lu 0005","Coventry University, Faculty of Engineering and Computing, UK",United Kingdom
428,"Weidong Li 0001","Coventry University, Faculty of Engineering and Computing, United Kingdom",United Kingdom
430,"Michael E. Fitzpatrick","Coventry University, Research Centre for Data Science / Institute for Future Transport and Cities, UK",United Kingdom
434,"Jamal Bentahar","Concordia University, Montreal, Canada",Canada
434,"Anna Helena Reali Costa","University of Sao Paulo, Brazil",Brazil
436,"Arunkumar N.","SASTRA University, Tamil Nadu, India",India
436,"Gustavo Ramírez-González 0001","Universidad del Cauca, Tunja, Colombia",Colombia
438,"Wei Wu 0002","Sichuan University, College of Electronics and Information Engineering, Chengdu, China",China
440,"Awais Ahmad 0001","Air University, Department of Computer Science, Islamabad, Pakistan",Pakistan
440,"Zhen Li 0031","Nankai University, College of Computer Science, Tianjin, China",China
444,"Francesco Marcelloni","University of Pisa, Italy",Italy
446,"Francisco Herrera","University of Granada, Department of Computer Science and Artificial Intelligence",Spain
448,"Alberto Fernández 0001","University of Granada, Department of Computer Science and Artificial Intelligence",Spain
450,"Ahmed E. Kamal 0001","Iowa State University, Ames, USA",United States
450,"Shui Yu 0001","University of Technology Sydney, School of Computer Science, Faculty of Engineering and Information Technology, Ultimo, NSW, Australia",Australia
452,"Xue (Steve) Liu","McGill University, School of Computer Science, Montreal, QC, Canada",Canada
454,"John S. Thompson","University of Edinburgh, School of Engineering, UK",United Kingdom
456,"Yonghui Li 0001","University of Sydney, School of Electrical and Information Engineering, Centre of Excellence in Telecommunications, NSW, Australia",Australia
458,"Ada Gavrilovska","Georgia Institute of Technology, Atlanta, USA",United States
458,"Dejan S. Milojicic","Hewlett Packard Labs",United States
462,"Kirk Bresniker","Hewlett Packard Labs",United States
464,"Hua Zhu 0002","China University of Mining and Technology, School of Mechanical and Electrical Engineering, Xuzhou, China",China
464,"Cong Ding 0003","China University of Mining and Technology, Xuzhou, China",China
466,"Anthony Hunter","University College London, UK",United Kingdom
466,"Renata Wassermann","University of Sao Paulo, Brazil",Brazil
468,"Gabriele Kern-Isberner","Technical University of Dortmund, Germany",Germany
470,"Thomas Andreas Meyer","CAIR, University of Cape Town",South Africa
480,"Pieter Spronck","Tilburg University, Tilburg Center for Cognition and Communication (TiCC), The Netherlands",Netherlands
484,"Tom Schaul","Google DeepMind, London, UK",United Kingdom
490,"Tobi Delbrück","ETH Zurich, Switzerland",Switzerland
490,"Robert Chen-Hao Chang","National Chung Hsing University, Taiwan",Taiwan
492,"Mohammad Mehedi Hassan","King Saud University, Riyadh, Saudi Arabia",Saudi Arabia
494,"Marco Lippi 0001","University of Modena and Reggio Emilia (Unimore), Italy",Italy
494,"Sriraam Natarajan","University of Texas at Dallas, Center for Machine Learning, TX, USA",United States
496,"Fabrizio Riguzzi","University of Ferrara, Italy",Italy
500,"Kristian Kersting","TU Darmstadt, Computer Science Department, Germany",Germany
506,"Petr Novotný 0002","IBM T. J. Watson Research Center, Yorktown Heights, NY, USA",United States
510,"Dinesh C. Verma","IBM",United States
512,"Duckhwan Kim 0001","Georgia Institute of Technology, Atlanta, GA, USA",United States
514,"Saibal Mukhopadhyay","Georgia Institute of Technology, Atlanta GA, USA",United States
514,"Sudhakar Yalamanchili","Georgia Institute of Technology, Atlanta, USA",United States
518,"Madhavan Swaminathan","Georgia Institute of Technology, Atlanta GA, USA",United States
524,"David Álvarez 0005","Free Software R&D Foundation (FIDESOL), Spain",Spain
524,"Jon Arambarri Basanez","Virtual Ware Labs Foundation, Bilbao, Spain",Spain
526,"Michal Wozniak 0001","Wroclaw University of Science and Technology, Poland",Poland
528,"Ajith Abraham","Machine Intelligence Research Labs, MIR, Auburn, USA",United States
534,"Emilio Corchado","University of Burgos, Department of Civil Engineering, Spain",Spain
538,"Héctor Quintián","University of A Coruña, Spain",Spain
542,"Igor Santos","University of Deusto, Bilbao, Spain",Spain
544,"Alicia Troncoso Lora","Pablo de Olavide University, Sevilla, Spain",Spain
550,"Frank-Michael Schleif","Bielefeld University, Germany",Germany
550,"Kerstin Bunte","University of Groningen, Bernoulli Institute, The Netherlands",Netherlands
554,"André C. P. L. F. de Carvalho","University of São Paulo, Department of Computer Science, Brazil",Brazil
556,"Jeng-Shyang Pan 0001","Shandong University of Science and Technology, College of Computer Science and Engineering, Qingdao, China",China
