author,name,aff
https://dblp.org/pid/133/0292-1,Weiping Ding 0001,"Nantong University, School of Computer Science and Technology, Jiangsu, China"
https://dblp.org/pid/135/0534,Desta Haileselassie Hagos,"Howard University, Department of Electrical Engineering and Computer Science, Washington, DC, USA"
https://dblp.org/pid/136/0328,Tuncer I. Ören,"University of Ottawa, School of Electrical Engineering and Computer Science"
https://dblp.org/pid/136/4171,Ryan Calo,"University of Washington, Seattle, WA, USA"
https://dblp.org/pid/137/1341,Jaeseung Song,"Sejong University, Seoul, South Korea"
https://dblp.org/pid/137/3061,Sergio Lucia,"TU Berlin, Department of Telecommunication Systems, Germany"
https://dblp.org/pid/137/4858,Olatz Perez-de-Viñaspre,"University of the Basque Country, Leioa, Spain"
https://dblp.org/pid/137/8551,Nora Aranberri,"University of the Basque Country, Donostia-San Sebastián, Spain"
https://dblp.org/pid/138/6907,Shuqiang Huang,"Jinan University, Guangzhou, China"
https://dblp.org/pid/139/2145,James E. Gaskin 0001,"Brigham Young University, Department of Information Systems, Provo, UT, USA"
https://dblp.org/pid/139/3096,Thomas Hughes-Roberts,"Liverpool John Moores University, UK"
https://dblp.org/pid/139/6705,Ayesha Sohail,"COMSATS Institute of Information Technology, Lahore, India"
https://dblp.org/pid/14/1589,Yugyung Lee,"University of Missouri-Kansas City, USA"
https://dblp.org/pid/14/2991,Michele Zorzi,"Department of Information Engineering (DEI), University of Padova, Padova, Italy"
https://dblp.org/pid/14/3340-2,Dario Rossi 0002,"BrainSigns Srl, Rome, Italy"
https://dblp.org/pid/14/3340,Dario Rossi 0001,"Huawei Technologies France, Boulogne-Billancourt"
https://dblp.org/pid/14/3700-2,Qing He 0002,"Linköping University, Sweden"
https://dblp.org/pid/14/4787,Fernando B. Lima Neto,"University of Pernambuco, Polytechnic School of Engineering, Recife, Brazil"
https://dblp.org/pid/14/6306,Rainer Leupers,"RWTH Aachen University, Germany"
https://dblp.org/pid/140/1084-1,Yuri Lima 0001,"Universidade Federal do Rio de Janeiro, UFRJ, COPPE, Graduate School and Research in Engineering, Brazil"
https://dblp.org/pid/140/1507,Alireza Souri,"Islamic Azad University, Department of Computer Engineering, Science and Research Branch, Tehran, Iran"
https://dblp.org/pid/141/5615,Christian Matt 0001,"University of Bern, Switzerland"
https://dblp.org/pid/142/8075,Dominik Bork,"TU Wien, Austria"
https://dblp.org/pid/143/3190,Shannon Vallor,"University of Edinburgh, Centre for Technomoral Futures, UK"
https://dblp.org/pid/145/5892,Alexander Raikov,"Russian Academy of Sciences, Trapeznikov Institute of Control Sciences, Moscow, Russia"
https://dblp.org/pid/146/1203,Mohammad Al-Shabi,"University of Sharjah, Department of Mechanical and Nuclear Engineering, UAE"
https://dblp.org/pid/146/4906,Jeya Mala Dharmalingam,"Thiagarajar College of Engineering, Madurai, Tamil Nadu, India"
https://dblp.org/pid/147/1186,Dominik Moritz,"Carnegie Mellon University, Human-Computer Interaction Institute, Pittsburgh, PA, USA"
https://dblp.org/pid/147/4150,Angus G. Forbes,"Purdue University West Lafayette, IN, USA"
https://dblp.org/pid/147/5622,Karl Werder,"University of Cologne, Institute for Information Systems (CIIS), Germany"
https://dblp.org/pid/147/7065,Mikail Olayemi Olaniyi,"Federal University of Technology Minna, Niger State, Nigeria"
https://dblp.org/pid/148/7203,Seán Ó hÉigeartaigh,"University of Cambridge, Centre for the Study of Existential Risk, UK"
https://dblp.org/pid/149/1438,Maria Rodriguez Read,"University of Melbourne, Australia"
https://dblp.org/pid/149/3818,Obaida M. Al-hazaimeh,"Al-Balqa' Applied University, Irbid, Jordan"
https://dblp.org/pid/15/1123,Mohsen Guizani,"Mohamed Bin Zayed University of Artificial Intelligence (MBZUAI), Doha, Qatar"
https://dblp.org/pid/15/332,Søren I. Olsen,"University of Copenhagen, Denmark"
https://dblp.org/pid/15/3362,Leonardo Gomes Baltar,"Intel Deutschland GmbH, Feldkirchen, Germany"
https://dblp.org/pid/15/5637,Chandra Sekhar Seelamantula,"Indian Institute of Science, Department of Electrical Engineering, Bangalore"
https://dblp.org/pid/15/6471,Yuji Iwahori,"Chubu University, Department of Computer Science, Kasugai, Aichi, Japan"
https://dblp.org/pid/15/7049,Javier Andreu-Perez,"University of Essex, Colchester, UK"
https://dblp.org/pid/15/7206,Lirong Zheng 0001,"Fudan University, State Key Laboratory of ASIC and System, Shanghai, China"
https://dblp.org/pid/15/9687-1,Wenqi Li 0001,"NVIDIA Corp, Cambridge, UK"
https://dblp.org/pid/150/0379-1,Ahmed Abid 0001,"Easy Global Market, Sophia Antipolis, France"
https://dblp.org/pid/150/4909,Harold D. de Mello Jr.,"Rio de Janeiro State University, Department of Electrical Engineering, Brazil"
https://dblp.org/pid/152/4900,Francisco Enrique Vicente Castro,"University of Massachusetts Amherst, MA, USA"
https://dblp.org/pid/152/9693,Jalawi Sulaiman Alshudukhi,"University of Ha'il, Saudi Arabia"
https://dblp.org/pid/154/3517,Adnan M. Abu-Mahfouz,"University of Pretoria, South Africa"
https://dblp.org/pid/154/8540-2,Surbhi Gupta 0002,"Shri Mata Vaishno Devi University, School of Computer Science and Engineering Department, India"
https://dblp.org/pid/154/9982,Andreas Husch,University of Luxembourg
https://dblp.org/pid/155/3692,David K. Menon,"University of Cambridge, Addenbrooke's Hospital, UK"
https://dblp.org/pid/155/7706,Milad Mirbabaie,"University of Duisburg-Essen, Department of Computer Science and Applied Cognitive Science, Duisburg, Germany"
https://dblp.org/pid/156/2135,Amit Kumar Bhardwaj,"Thapar University, L.M. Thapar School of Management, Dera Bassi, India"
https://dblp.org/pid/158/6260,Timothy McFarland,"The University of Melbourne, Australia"
https://dblp.org/pid/158/7346-1,Ramakrishnan Raman 0001,"Symbiosis International (Deemed University), Symbiosis Institute of Business Management, Pune, India"
